,qname,seqLength,sampleQnamesChr,subTeloAlignLength,teloBPLengths
684,1b7b1945-cf3b-46ac-aeeb-98dcbca6c9ac,22915,chr22:q-arm,19153,1748
685,d251afd4-dabb-4b28-9828-6904b51912ef,3941,chr19:q-arm,99,2608
686,67ce41ce-0505-4500-b3a0-82ebd9e886c6,11408,chr12:q-arm,5755,4625
687,2c5e9a6a-c36f-4ca9-8065-2e2cf553eb34,22233,chr3:p-arm,8946,11175
688,179c4ef2-7113-467c-b0c5-91645843c022,9346,chr17:q-arm,2956,5396
689,6429a820-e55c-4b0f-a20d-29dccdde29a9,6435,chr3:q-arm,1149,4942
690,e22875f9-de97-4238-8d65-eb50105a8deb,1546,chr19:q-arm,84,203
691,bdba5081-85a1-4fd8-8136-e7e69ca6da35,3419,chr19:p-arm,2498,102
692,d62cbd47-30b6-493d-8054-d945b0f7f524,32527,chr10:q-arm,18727,6028
693,d12aaffe-3575-44a4-8343-5849f7af11d5,6367,chr15:q-arm,825,5285
694,1fb8f454-1161-478c-92a9-cc7e28f3f4cb,15156,chr15:p-arm,5715,7606
696,e2a01d21-0710-4c26-9f4b-f7c8e3221909,1686,chrX:p-arm,42,1400
697,c7409f2e-9557-4e20-b36f-f599821b7abc,9389,chr6:q-arm,3622,4185
698,dcfae06b-486e-48f6-8c5b-0e213ace7cd6,5054,chr18:p-arm,126,124
699,50e7b155-fe23-4bc9-9a41-b1fa51234db6,2575,chrX:q-arm,1593,757
700,177452d1-811d-43f7-9871-9604c7d5add4,15163,chrX:q-arm,201,186
701,d9ddca90-6ef0-4548-8d82-9b23b4fccc2b,3952,chr19:q-arm,95,2700
702,407a2f37-9184-4283-b03b-8bc49983596a,6866,chr7:q-arm,61,66
704,a9f724a7-be33-4975-956b-3bc46d79a03d,41741,chr17:q-arm,27011,1748
706,fa8fe2db-490b-4acc-828f-e1879a70c93d,35535,chr8:p-arm,24145,6766
707,f1f34d8c-5f4b-4ea4-8f35-a0bd92b8848c,19354,chr12:p-arm,12918,3610
709,e257cc3d-7cd7-4365-864b-07548a0bcab6,12857,chrX:q-arm,1349,11024
710,e2a3b32d-922d-4c20-a7d3-4ceff2122400,4128,chr2:p-arm,60,114
711,e3c87f4e-325c-4515-a672-71f3907e30f9,12747,chr14:q-arm,5828,5766
712,f93e6025-dd6a-486e-9b05-5e633f0c29ed,6068,chr12:p-arm,1056,4005
713,49f29046-da36-4815-bc64-229cfd0392cc,9351,chr9:p-arm,1424,7334
714,d026ce67-765e-44a5-b686-49c086458563,6862,chr12:p-arm,1663,4754
715,a9bd66e4-0153-41c2-97d1-3ed2911bc3f4,6065,chr9:p-arm,1552,4006
716,6cee58ea-5c22-44a2-837e-f95e893b14b4,7668,chr21:p-arm,3825,3614
717,cc56881b-7ab1-40f3-9679-8c77197fdcd2,36007,chr21:p-arm,24533,7230
718,e4df3f2a-fdf1-4075-81e3-6f51d040d265,33361,chr1:p-arm,17950,9130
719,e9fca7da-578f-4c3e-bb94-b7b0d3d39b99,4323,chrX:p-arm,71,3964
720,f7b81e8d-edf4-49cb-9c33-492e65ecfd89,29241,chr8:q-arm,23924,1100
721,89c8b06b-603b-4346-8935-cd13264a913b,21847,chr7:p-arm,15363,3530
722,8c38b98c-41f4-4cf7-ae72-47e3be7026e4,14634,chrX:p-arm,7553,1152
724,7fa1fc2e-40ee-4708-aaff-9ec66e30a1cc,27040,chr1:q-arm,13552,5408
727,01a528de-ea47-4033-8431-7a63621c6914,5094,chrX:p-arm,60,4931
729,0f570262-4153-4ed6-a114-a2316cf43612,1242,chr14:q-arm,45,60
730,0fd7094e-b75b-4731-8745-fea27326de19,8596,chr11:q-arm,5465,1783
732,6c41cf78-2689-42e7-9155-806eec79d32c,23135,chr15:p-arm,16855,144
733,bf301de2-491e-466c-9f7d-f8e8ecb424c0,30660,chr17:q-arm,23060,3418
734,9762ddf8-2a1d-4337-b0e1-022886bc2437,43223,chr6:q-arm,31542,5781
736,dae85a28-17cd-4a24-8027-0f18df69ed57,17191,chr15:q-arm,593,48
737,5c6f7905-6953-40a2-8c43-655e68fede9e,1942,chr11:p-arm,43,198
738,2293f5b9-a5ca-4336-bd98-e0994155abe9,1314,chr11:p-arm,60,1148
739,0dca97e3-92f8-4006-bae0-1250e4910ba9,6351,chr17:q-arm,1983,3858
741,fe991204-a330-4e14-b548-808b1f9a7467,14651,chr21:p-arm,6928,6110
742,75d9aebc-87d2-40f1-9c60-dd9fbea6d4aa,7748,chr3:q-arm,45,114
743,b577796d-863a-4269-bccc-c45ebbec3e99,9440,chr1:q-arm,4500,3842
744,6eceecb7-1312-4467-87be-a071de7edcab,24832,chr7:q-arm,14345,6035
745,77484a52-2d4f-46bf-9eec-e10d3da4b4a1,14553,chr12:q-arm,60,118
746,bf180a05-3208-480b-b6f3-00ab1092856b,9734,chr9:p-arm,1143,7704
747,71473efe-4f7a-42bf-ba0c-386e7af49250,1307,chr16:q-arm,50,1144
748,05db68b1-dec1-436e-adac-95a715f3f594,2670,chr19:q-arm,90,1754
749,8b3e3d00-e3d1-4fb9-a1f1-4d9c5778d91d,4178,chr3:q-arm,1160,2572
750,df4facf7-df43-422d-bfa3-0ee3f21fcf44,5629,chr16:p-arm,1495,3810
752,f2e0bfef-6fb6-47f6-aa0e-04dcbbf22c2a,21926,chr8:p-arm,16230,948
753,fbff5fb8-73b6-42e9-9502-43258689b6e2,42083,chr7:p-arm,31014,2654
754,d715eaf8-9a82-46d3-892a-7775a28af3da,6188,chr16:p-arm,1387,4698
755,5c480cb5-ef5b-49e4-9245-6682311dade8,9442,chr3:q-arm,1172,8086
756,909c811a-3614-49b6-b990-f43e46c791ef,6977,chr12:q-arm,90,6819
757,c3b4f00d-3130-43b1-9372-f24a6ec0f26f,24794,chr22:q-arm,13544,8704
758,a67a856c-8d3c-4bfd-ab72-cb57b31b236c,24437,chr20:q-arm,13650,7342
759,869ebba8-e823-4a57-8ba3-592b15851253,2942,chr19:p-arm,1518,1085
760,5156d433-d603-4071-8c85-5ae9453c0228,24975,chr1:p-arm,15665,6274
761,f268b452-5e15-462f-a67b-e73781fc0a1b,2278,chr17:q-arm,62,2096
762,e3f094c0-ba8a-48cc-abe6-8307b79283f4,36120,chr16:p-arm,26820,2672
763,e34a79ca-6fe8-4499-932a-9306c4a133b2,7442,chr18:q-arm,2105,4790
764,f3542abb-7574-482a-a1aa-68b2ab4f0d54,5589,chr19:p-arm,1066,4210
765,056b6dc4-403f-4274-bdb2-6491af3fa01a,5807,chr10:p-arm,127,5552
766,60132cd8-8ea6-413b-98ac-e643f88691d7,5766,chr4:p-arm,1052,4084
767,647f7ae6-e274-4600-8d2c-37e909f7d401,13176,chr17:p-arm,4353,5176
768,36d64f7b-2b3c-4ed4-b43a-e84e73a5eaed,16551,chr19:q-arm,10447,4722
769,828ef724-19c7-4e51-baad-27c9848f2ddb,9881,chr15:p-arm,5627,2875
770,51921689-60ba-4ec8-8cb7-2b981cda6837,34644,chr2:p-arm,19933,12266
771,b758bbd9-97b8-4d22-8bbf-ff8b29f8a124,8939,chr4:q-arm,3778,3813
774,247f0644-1b31-4217-89e6-058167275717,29323,chr13:p-arm,9393,6830
775,35229463-11ed-4a20-8127-832a5b1b0566,2692,chr19:q-arm,101,1372
776,73d4c0fc-ccbf-4f81-a376-14c230f3f465,3138,chr18:q-arm,47,2976
777,8c348db6-cdaf-48c2-a521-11375fc9667b,10177,chr10:q-arm,6225,2662
778,e55bfad6-8d13-4f19-a118-9c270022bd2f,15835,chr8:p-arm,8778,4875
779,88a24908-82d2-4575-96d6-723d3b3d9b1f,7730,chr3:q-arm,778,6042
781,b2b23e0c-6b63-4fc3-9afa-87706d9cc1b5,47135,chrX:p-arm,30721,5856
782,dbe037d1-6035-4547-892a-bd8b6361030d,3532,chr19:q-arm,94,2661
783,7d1658e6-197d-46ce-b9a4-61ce7abbd444,2220,chr2:q-arm,45,66
784,c925056a-a8b9-40f7-9052-57baf502f758,13589,chr14:q-arm,6346,4300
786,dbd2de8d-ee1c-4628-b4ee-c7d4ec3647b1,24228,chr18:q-arm,16869,4132
787,5f14acf1-b5aa-44a0-ae98-44eae079d412,19032,chr8:q-arm,11213,4825
788,f648fc55-a5dc-42b6-b30f-a9993be507a6,15100,chr8:p-arm,10511,2309
789,93643cc7-15ee-4145-9f8c-f238957ee94e,4156,chr6:p-arm,853,2764
790,b62e3d40-26b6-456a-bc01-dc9bf014d628,26155,chr21:p-arm,17834,6481
791,4c684195-f13e-4078-85b2-4076d4180965,14419,chr10:q-arm,6769,5476
792,2a90bbdc-80d5-4676-acd6-49b3ee44621e,46622,chr8:q-arm,37084,4120
793,02edbe2f-7f14-427d-ba2a-16e9ac3c8b7a,33480,chr5:p-arm,21725,6233
794,bd564b02-d034-4132-a267-d57169784a31,16123,chr15:p-arm,8558,5564
795,09102fb9-593b-4383-959a-52693966cdb3,26819,chr14:p-arm,5867,17955
797,951bc89b-4485-4902-8a3b-ef4e6c1a598c,15581,chr21:p-arm,10069,3158
798,17913e72-ab9d-44b6-9546-dea8aa740fe0,1272,chr11:p-arm,85,1109
800,10ceb697-1e9a-4fe4-9428-41d18b12abf0,11789,chr17:q-arm,5185,5058
802,69e6fc6b-aa0d-41c4-9e03-a452619eeda8,22152,chr7:q-arm,15612,3196
803,74e53120-43bc-4da6-b550-adfe8e4952d3,1729,chr19:q-arm,98,314
804,280bc281-0136-4d81-9fa7-38b008b228f2,3502,chrX:p-arm,69,3223
805,1b54485f-3748-4aaa-b446-3191fef90797,6081,chrX:q-arm,420,5425
806,d4173a87-2fb7-4d5e-8a6c-51c72166685b,8438,chr12:p-arm,1618,6192
808,f7e6a129-29ee-4291-86a5-a9f90c98ca8b,1641,chr18:p-arm,41,210
809,011e313c-6935-424f-aa07-9d51feffb290,23723,chr2:q-arm,15795,3729
810,f1c914fb-a7be-4310-87d7-0966ea9259ee,3146,chr1:q-arm,74,2985
811,24e76a51-a247-4543-bfeb-776b4fdb28e3,7846,chr3:q-arm,1177,6382
812,361430d5-de1d-40f6-9ffd-c5e40df338d7,17682,chr17:q-arm,60,120
813,8d5a793d-9f56-4621-8451-20a21d67bf65,1305,chr19:q-arm,90,54
814,80f763ae-977f-4c95-9cdc-2336df5bef3f,3236,chr19:q-arm,96,1943
815,bab0919b-8bae-4069-800d-7253ba9b0c98,10165,chr9:q-arm,5353,3796
816,8817525b-8c32-4a17-9c3c-8ea316f3c99c,8889,chr18:p-arm,1533,341
817,cfbd1e08-e3ca-4f60-aaec-576d50aacfbd,26826,chr16:q-arm,9574,12012
818,aa4b1b5c-b8b8-4197-8f96-1018f0c4e8d7,14424,chr5:q-arm,9364,3634
819,6602a95f-363b-4b74-b9fe-25ae95ab72b1,18564,chr10:q-arm,10557,3351
820,6783c545-4993-4e6c-9bcc-cac85ab317c4,10846,chr22:p-arm,7243,2964
821,9386c7ef-bdb6-4720-99ee-b2f000f0540d,9846,chr19:p-arm,1365,8035
822,1bcc6e88-3469-41ca-821f-bcccc60f5f98,46286,chr21:p-arm,32944,7781
823,0e94308a-cbd9-4021-b188-394b62588f63,6430,chr20:q-arm,1114,4828
824,0faa2ffc-2eaf-4d22-b16b-cb3da79bf072,25397,chr2:q-arm,17949,3648
826,ed3624b1-f71b-4d18-bc16-fd6b943e2e0f,11638,chr17:p-arm,3875,2808
828,14facf57-bd73-44eb-a4e4-a6faedfd8dff,12518,chr3:p-arm,8828,1489
829,b8998634-e123-4a07-afb0-5b52e851e03b,4997,chr16:q-arm,116,3602
830,72750e2f-2149-49d9-8c8d-2b7ad0ad3695,5727,chr9:p-arm,1505,3779
831,24970da5-1b46-46d3-9bd0-9abc8fddb45a,9233,chr1:p-arm,986,7736
832,1c82a68a-732f-45a3-9107-4e15058736aa,18496,chr1:p-arm,7190,5697
833,31b47185-cd68-4c95-acda-0687eee1f1d8,9723,chr5:q-arm,425,90
834,3101f060-9d93-4072-923a-3f8df1cfbf0f,4254,chr3:q-arm,994,2806
835,3aa1b0b7-bae2-4484-842c-58aaa124f6a9,27418,chr13:p-arm,15496,4396
836,02ea3529-5ea2-4ac1-af5b-d49c877089e9,5945,chr1:p-arm,887,4374
837,834703a4-6be6-4ccc-90d9-8371f5f0e157,4564,chrX:p-arm,68,4401
838,77776a32-169e-4568-9c7e-799c003b3e8d,6924,chr9:p-arm,1270,4859
839,0ee6e6e9-a26a-4108-801b-c8128f188188,18706,chr17:q-arm,10399,6412
840,947efc06-a98a-4bd8-a02d-718bc4ecbd95,29942,chr4:p-arm,14362,9707
841,f15a5837-4eed-4bef-b318-d4d51c0a302e,7266,chr11:p-arm,957,5884
842,b913e92c-a44c-4ac1-a95d-82245bbef511,15621,chr16:q-arm,9270,3376
843,606101c1-1feb-4664-99b4-b80177f1d31a,1519,chrX:p-arm,55,1359
844,a13515ca-477c-4d70-8722-7586af6fb4d8,21296,chr13:q-arm,5023,14841
845,8c05fea8-ed4b-49ce-93fa-083a6b222924,3607,chr3:q-arm,2796,730
846,b98da1bb-0e93-44b8-9e2e-207667df23dd,10257,chr5:p-arm,5246,3640
847,9fd59b0e-eefb-4cb3-9fd0-d61cecb4240d,56470,chr14:p-arm,42746,3329
848,7532c559-f822-4cf1-8a2c-594655fe80f2,13896,chr12:q-arm,8308,4863
849,ec51062e-fa4a-424d-95e8-16323891e8aa,14591,chr19:p-arm,6908,5508
850,72b7a6ca-8d17-4fe3-bccc-e2607a1ac374,9852,chr22:p-arm,7101,1846
851,658e31c1-f235-4a99-b890-225a35247066,13284,chr19:p-arm,190,48
852,4a857c4c-b033-4bba-a450-5eb64f2c8fa0,2876,chr19:q-arm,108,2499
853,1d6bc5e8-9659-4809-aea8-e7d902039269,20486,chr3:q-arm,12824,5308
854,45da48d9-4d53-4c05-82c5-f0ba608d00e7,14909,chr21:q-arm,8298,4361
855,0a1d57f5-ad03-4510-84c9-38bc69d492ff,14787,chr10:p-arm,4615,8724
856,f119437e-ae95-40d2-9da9-b41467d3078f,39946,chr13:q-arm,22396,12545
857,82dd47ed-4f46-496c-924a-d504c28c166f,19553,chr20:p-arm,106,134
858,12ee4f88-329f-4703-8628-6cc4d4ff438f,12511,chr8:q-arm,115,150
859,2d68ae41-2ca3-446b-96fc-79151d4ca3a3,1321,chr8:p-arm,922,192
860,648be95d-6cd6-47af-913c-4e4bd8d39ce4,8500,chr17:p-arm,3313,5050
862,5a848575-c3e4-4957-a36c-1b8204790f11,4943,chr9:p-arm,1083,2941
863,f3ff2bda-ce58-4e97-a468-38eb4231eeb4,12421,chr11:q-arm,4858,6334
864,3020e401-61e4-44d7-a39b-6d09dd5cb493,6662,chr11:p-arm,833,4995
865,98d26e0b-9c0d-4d2c-bb94-5dff4d12df9d,1326,chr19:q-arm,71,147
866,d465e722-89aa-4757-81e4-049f283978f1,5812,chr11:p-arm,1186,4307
867,2856c924-7b67-41fb-abd9-ab3e2da4f567,10756,chr3:q-arm,1004,9136
869,d70fbdda-0e28-4eac-8075-a3790ce80271,9812,chr20:p-arm,45,342
870,0bc774c9-db67-4381-88c9-78b34c57c327,13419,chr17:p-arm,62,150
871,d99bc326-fdd9-47c2-b6eb-3a5f9d0597a7,27165,chr16:q-arm,16436,1852
872,f1e751bc-017a-41f4-a12e-4f52d4d4c3f9,9237,chr6:q-arm,339,8662
873,65287e96-eee1-4c2e-934c-f2f8748eadfe,11048,chr11:q-arm,4722,4961
875,a7a4b336-9fb0-4601-87de-c155e3d2c21d,1797,chr11:q-arm,45,1636
876,c132a8d3-d547-47c3-a7dc-d805522add93,12130,chr7:q-arm,7481,3098
877,0c678970-bd93-4acc-a152-2636cf16b308,6181,chr9:p-arm,1232,4567
878,7706070e-4787-4830-bbf6-62351393328f,3075,chr19:q-arm,66,1760
879,28c87c6d-48b9-4026-a34b-6e517d407eab,8839,chr12:p-arm,1706,6625
880,d1170cab-9218-445b-b3df-5d415047d627,16704,chr18:p-arm,6951,4972
881,f33e1af4-354f-4cb1-b38e-66b1aefea445,14946,chr8:p-arm,9108,4208
882,df68ea34-4409-4748-b504-462c004315bc,3124,chr19:q-arm,99,1835
883,14c9189e-2dff-4122-af62-22c695c8620f,14340,chr7:p-arm,10114,2815
884,06978461-22c7-43e5-b703-746bf5831e19,25079,chr21:p-arm,9277,10759
886,417ce3b8-4c5c-4112-b512-ba49e0753df6,13253,chr3:p-arm,9772,2060
887,7326ceb6-cb09-4627-b983-7ea97b60bdf2,2811,chr19:q-arm,51,1644
888,c3ab9e7b-a8e1-4fca-b972-87009aee582e,9629,chr9:p-arm,992,8078
890,84451a04-7906-49d5-bfb5-4b151efe01f4,5304,chr7:q-arm,49,162
891,bc8e0e4e-241e-440e-9771-3b2a593b7401,18608,chr4:q-arm,383,116
892,512de202-263d-47fb-a828-ef8fcef3458e,8493,chr14:p-arm,1309,6861
893,3ec2cd45-ae3e-41f0-bf68-dba2ec5fbd9f,6204,chr3:q-arm,1191,4348
894,5a179e0a-7a01-491b-9f58-dda9abe90e25,41727,chr6:q-arm,30489,4648
895,895b99c1-4348-4f82-8d4c-edea20989bd3,2478,chr19:q-arm,103,1232
896,0ee73570-0544-4fa5-96ae-d22ae9ae541c,18831,chr10:p-arm,10734,5869
897,3fa073d4-6239-4cb5-aac3-e8e8574c5d20,1500,chr19:q-arm,72,254
899,11440f66-6523-46e8-9eb9-d66ca3af7537,10137,chr9:p-arm,1151,7878
900,23160073-88a4-45dc-82a5-21d255b4cc5f,12702,chr17:p-arm,4318,5716
901,d0dc0f97-b1e1-4f15-ba11-c5ecb7f41e34,12178,chr6:q-arm,8963,78
902,10c21c72-5b93-4828-af2d-39e3da01b5e8,6009,chr19:p-arm,1164,4360
903,5cf83ffa-10d1-4d79-b805-69185fb88653,42220,chr7:p-arm,30665,4302
904,10b8d7db-0e36-43cd-b990-b56dfdc84cd5,7332,chr19:q-arm,71,6044
905,10953781-00d1-45a0-adda-247787cc8eb7,27859,chr14:q-arm,14572,9607
906,b53624bd-1b1d-4bc2-90d3-b0901d4a2e7a,13743,chr3:p-arm,9182,2639
907,c29209ce-e4b1-454b-8993-ec9b2721ae37,8403,chrX:q-arm,1286,6555
908,38684ca4-b44d-43f3-9737-14f13fea7ac4,41975,chr6:q-arm,28130,4679
909,fb0eb024-c0ff-49d1-b1b5-9a64ff2412da,24857,chr14:q-arm,12754,7229
910,942dc771-00b5-4030-bef2-548b60da8f2a,24980,chr14:q-arm,15676,6831
911,c1ac5315-2e9e-480f-b9ed-16279547e661,2601,chr19:q-arm,58,1331
912,af1e1da2-2876-42b5-87ea-9fbf7f091cf7,15312,chr1:q-arm,8354,5756
913,6e4161e5-d8f4-4184-b31a-8cd995f25bee,5127,chr16:p-arm,1316,3616
914,109fb204-a489-469e-a4c6-9990b569aac7,11214,chr11:q-arm,3978,5240
915,0a774435-8dc7-4cc6-8fd7-678e3eadf443,13584,chr12:q-arm,8715,4557
916,f6d7bde7-2871-452e-91f8-4530fc287bb1,28963,chr9:q-arm,17366,6490
917,a97d8838-e5b5-4d21-95ec-a43daf7f9b45,25518,chr1:q-arm,18227,3339
918,9133c7c0-8061-41ff-95dc-5c735f69c4c6,21616,chr3:q-arm,11031,4696
919,8a2f6253-23ae-429f-b79a-49ad2c371a95,6180,chrX:p-arm,67,5818
920,6bfaae1b-8d25-493f-a4c1-f3a64fc18f8b,20866,chr13:q-arm,7146,12818
921,59594d5d-9a31-403c-bb7a-d044dee47eb5,16957,chr10:p-arm,10911,4100
922,2341654b-8e07-47bd-b1da-ffbcea3a9e0d,1316,chr19:q-arm,41,129
923,56c60c8b-5ba9-40a5-aa03-77743d67656f,3690,chrX:p-arm,49,3532
924,4f192a66-9bf3-48cf-8a43-4d1587d1e1e0,50727,chr21:p-arm,38704,6420
925,2dd15786-ec8b-468a-89ea-81627939108a,33756,chr14:p-arm,18306,6473
926,d3da9a25-378d-451b-9404-a7215a3e2a14,10483,chr21:p-arm,3894,122
927,563a1fb0-998e-4c75-b2e3-98e14484488b,15021,chr17:p-arm,41,180
928,7aa8204a-784c-43bf-9acb-15494e444a48,18910,chr19:p-arm,11418,3994
929,0b0e9e2a-593b-4a4f-bdec-ece1d662bf68,41342,chr18:p-arm,29312,8169
930,8fcd4414-f08c-4235-8a24-37d638265a10,6440,chr6:q-arm,686,4249
931,80758114-4a3e-4dee-aa33-64cffabcca85,13599,chr11:q-arm,4887,7571
932,037301da-5cca-4780-98a4-9f13bee41937,3306,chr19:q-arm,105,2100
934,506be0fb-2a8a-4287-8a08-de2aa12489c4,6853,chrX:q-arm,46,102
935,945a20e6-566b-4864-8b12-49b77995ed70,8521,chr15:q-arm,1337,6635
936,db680ca5-3920-47ce-abae-4b9f5c9c2841,14149,chrX:p-arm,76,13985
937,327d2f47-63b1-483c-ace4-a92ad682781c,33702,chr4:q-arm,5068,186
938,2e493b21-3bed-4c8c-b816-ec5263d74afd,6002,chr12:q-arm,83,240
939,ce773d47-5d55-4cc4-8b8e-5128737f5ebc,1867,chr19:q-arm,105,607
940,49673a67-f9c8-4188-96a7-8b195e96ad0e,17222,chr3:q-arm,47,424
942,21b55d7a-7852-4d21-b3b6-ded6e73bb096,36759,chr22:q-arm,25274,4266
943,ff79faf5-bc4e-4a27-897d-b8d57faa7ae3,16694,chr17:q-arm,3126,10504
944,b2a6eb2d-921d-4ccf-987f-2aab4786c823,1096,chr17:q-arm,45,98
945,1f608ad8-85ae-460e-b61f-c03f754d1612,14856,chr2:q-arm,40,282
946,4d439a37-d6c9-4c0a-86fe-38d2b8fd7a58,8260,chr9:p-arm,1510,5794
947,99f047cb-d3ea-4f51-ae61-0c22703b990d,11288,chr9:p-arm,5808,3472
948,054b31c4-8b46-4262-8c14-d2c87c78af8f,27370,chr14:q-arm,14729,9214
949,5db02205-e247-4a2f-9c6b-d7393bd0f1bc,48646,chr5:p-arm,39601,3878
950,69a1d29d-fc2c-4b92-b1e7-9b9c795bafc8,9907,chr18:p-arm,2700,5745
951,390a0cb6-26a3-48fa-80cb-d7ff6a6f8d27,1617,chr4:p-arm,134,1450
952,e9cb0a30-826b-4854-a301-806e81e13c1e,5778,chr19:q-arm,103,5052
953,364bc64d-d0e6-440f-a0a6-fbc05ff2c84f,5009,chrX:p-arm,60,4848
954,9e187ffd-f5e8-4266-8fd9-48b442af120b,13115,chr15:p-arm,7898,1102
955,fa740fe7-153a-41f7-b81a-d50d5a707084,3555,chr19:q-arm,90,2250
957,21e5b79a-4338-4329-a58b-980417ff2ef1,14548,chr3:q-arm,11755,510
958,53230d6d-7cc5-46bd-8564-c713a8b62f13,25107,chr22:q-arm,16240,4925
959,cdc1c3c2-39f2-48ef-b354-56d692acd32e,6008,chr12:q-arm,95,5848
960,c78c89c3-dcd6-4c8d-8752-4eca5d33882e,24549,chr3:p-arm,8547,13425
961,6d2011d1-198c-4177-8d2d-7326e2188c9a,21482,chr7:q-arm,14132,3415
963,f868d849-2450-4d2f-a99f-7268444b27e1,22036,chr7:q-arm,12474,3679
964,e6876c96-eb60-46d1-80db-c210561862d9,9373,chr16:p-arm,1389,7533
965,c262ad43-32dd-44f6-84c0-5439b3445daf,37666,chr8:p-arm,22999,8873
967,45c66720-82b3-4029-953c-bfb3866a52f4,14030,chr22:p-arm,6787,4054
968,d060cea9-9c83-4b6f-97b5-9f11ad2b4abc,8312,chr21:p-arm,2479,4864
970,05666aca-fbb5-407c-bb0e-caba4d85cbfa,2384,chr19:q-arm,97,971
971,ac7273bb-ce01-4a83-a063-ac61d069f293,6761,chr6:p-arm,806,5296
972,5891c667-81a1-439d-9ac1-a9a846658b8b,7606,chr12:p-arm,1544,5487
973,649f09c9-9865-4d1a-94da-0274df13855c,16935,chr16:q-arm,9640,3778
974,8b99f23e-e1b6-4e71-84bc-c6edb195d213,4515,chr9:q-arm,3422,36
975,c60f45f3-132e-436d-add2-3cf7fae4733a,60292,chr14:p-arm,42859,7448
976,addeb16e-bb0d-47eb-8715-6c53929b6e0e,6559,chr6:q-arm,1406,4581
977,d85ccee5-973e-4067-a329-dfbb3490cb74,10132,chr16:q-arm,2267,7444
978,63870752-5a29-44ed-8171-5ef006dd4ec1,30634,chr21:p-arm,21965,5308
979,035e243e-a87b-409a-bf2a-a5ce9865c044,5257,chr8:q-arm,42,102
980,8c555ac1-c9a7-4b57-9cfb-f0ff35c76d9d,3453,chr15:q-arm,82,3290
982,2e68810b-a4fb-4f32-83c2-de83185e39ce,17740,chr4:p-arm,12683,2716
983,17bdbf5b-9e96-4a62-912e-8963a98a14e5,18622,chr18:p-arm,9918,6391
984,458bc391-428b-400f-811a-9dc63375a90b,19567,chr10:p-arm,10808,7180
986,3d4d80c1-5267-4454-b3ed-828859a68e7e,9146,chrX:q-arm,1323,7278
987,850dc751-aeca-4790-9082-7f09bd83f54b,6497,chr12:p-arm,970,4867
989,00310d2f-9aea-4964-9757-9e29e6e8fb45,15273,chr3:p-arm,7171,4285
990,130c1c10-aa52-4c24-b019-bda7189bcdfb,1997,chr19:q-arm,75,737
991,5fdb63fd-d4bd-429f-a1eb-596fcaba425d,20544,chr13:p-arm,6648,5751
992,e5f85a18-0f3f-436a-a640-48f1812ac1d2,57114,chr21:p-arm,41181,5483
994,f237d195-5b79-49db-a650-821bc6625af9,31716,chr22:q-arm,17386,6320
995,affe1698-51ad-4579-8b85-2c93f9f91857,6615,chr20:q-arm,1701,4648
996,b63fcc73-068b-43ee-9cc4-510454fbe32d,9133,chr9:p-arm,50,112
997,7b59b28d-7e08-4487-a78b-033f198d3923,22714,chr6:p-arm,11752,4887
998,5ea28d20-378d-49af-9601-e47947426b7c,16095,chr18:p-arm,9680,3909
999,3306a813-e7e3-4692-b0a5-2d8707c92705,5500,chr19:q-arm,78,4293
1000,98f380c8-a135-43e4-88c5-311de8cabc7d,39009,chr18:q-arm,25344,7404
1001,ce4c2acd-6be0-4828-b291-5f32ffe0ec15,5073,chrX:q-arm,784,72
1002,e2d597cc-1a06-44b9-9b4d-2bc2425fae70,21456,chr12:p-arm,13973,5656
1003,92b6c274-8aee-4a76-b2da-03808712e205,1913,chr13:p-arm,356,1042
1004,29dce003-6ab9-4fab-a2f0-f7a5d01cef47,65208,chr1:q-arm,49020,6466
1005,2bd75772-ed9d-40c0-93cf-44f0eef44f21,4131,chr21:q-arm,1347,2738
1006,a7f98f8d-11be-4b7c-af48-b7b6411502bb,21969,chr9:q-arm,16043,3130
1007,161ee6fe-e9de-40a1-8749-0b165d4ba30a,1718,chr10:p-arm,48,408
1008,5f065078-c97e-4016-b055-8931134215dd,10315,chr19:q-arm,6196,2638
1009,c105b309-cd52-4ed4-b057-c6d1ddf19f75,37323,chr6:q-arm,25553,6634
1012,ab207653-c38f-467d-b375-6cfca1c10af0,6180,chr19:q-arm,96,5105
1013,bd977640-f847-49f8-93bc-0295bde66723,7135,chr12:p-arm,1332,5096
1014,5e984634-cc7a-4971-8619-d99c85150443,34092,chr21:q-arm,26561,4572
1015,3f2233b4-b073-4c79-a606-a41f6f3b2382,27676,chr10:q-arm,57,228
1016,0843516d-7f69-43b7-a20a-c7c9baac3a80,10226,chr14:p-arm,3020,6656
1017,3d579b4c-0379-45f0-9d00-25606ff8c2aa,2464,chr19:q-arm,63,1254
1018,8e3ee687-9c8b-4743-abef-bded52d85471,1766,chr22:q-arm,62,1604
1019,23db1c6c-9df3-4832-bb07-0facbcf8585f,3875,chr19:q-arm,96,2577
1020,6436cf40-b7fb-4dfb-9773-efa0fd3c5547,22016,chr8:p-arm,16827,2466
1021,ee741b45-56e1-4cbe-b49a-c5f97bcbfd34,3836,chr19:q-arm,99,2494
1022,20ab9920-4499-4eab-af86-0cd82cbcc137,5560,chr19:p-arm,1048,3790
1023,a80b17a0-80dd-4bbb-ac10-156cd725a8f8,6286,chr17:q-arm,1103,4768
